departure,arrival,duration,service,price,ticket_class,ticket_offer
06.08,12.55,6 h. 47 min,REGIONAL,"28,35",Turista,Adulto ida
06.45,08.38,1 h. 53 min,AVE,"58,40",Turista,Promo
07.40,09.20,1 h. 40 min,AVE,"73,90",Turista,Flexible
09.10,10.58,1 h. 48 min,AVE,"58,40",Turista,Promo
09.30,16.15,6 h. 45 min,AVE-MD,,,
09.40,11.24,1 h. 44 min,AVE,"58,40",Turista,Promo
10.40,12.20,1 h. 40 min,AVE,"58,40",Turista,Promo
11.10,13.25,2 h. 15 min,INTERCITY,"44,25",Turista,Promo
11.55,13.35,1 h. 40 min,AVE,"58,40",Turista,Promo
12.21,19.04,6 h. 43 min,REGIONAL,"28,35",Turista,Adulto ida
12.40,14.20,1 h. 40 min,AVE,"39,90",Turista,Promo
14.10,16.03,1 h. 53 min,AVE,"58,40",Turista,Promo
15.10,16.52,1 h. 42 min,AVE,"58,40",Turista,Promo
15.30,22.31,7 h. 1 min,AVE-MD,"71,00",Turista,Flexible
15.40,17.22,1 h. 42 min,AVE,"58,40",Turista,Promo
16.05,22.47,6 h. 42 min,REGIONAL,"28,35",Turista,Adulto ida
16.45,18.50,2 h. 5 min,ALVIA,"65,30",Preferente,Promo
16.55,21.58,5 h. 3 min,AVE-LD,,,
17.40,19.20,1 h. 40 min,AVE,"73,90",Turista,Flexible
17.48,21.58,4 h. 10 min,INTERCITY,"43,40",Turista,Flexible
18.40,20.20,1 h. 40 min,AVE,"73,90",Turista,Flexible
19.40,21.29,1 h. 49 min,AVE,,Turista,Flexible
20.40,22.24,1 h. 44 min,AVE,"58,40",Turista,Promo
21.10,23.03,1 h. 53 min,AVE,"58,40",Turista,Promo
